Unit,Year Established,Affiliation,Predecessor,Successor,Command
Battalion for Air Assignments (Shaldag) 5101,1984,Air force,Battalion for Air Assignments (Shaldag),Battalion for Air Assignments (Shaldag),Palamachim
Duchiphat Hoopoe Anti-Tank Company 94,1984,ATM,Duchiphat Hoopoe Anti-Tank Company 94,Duchiphat Hoopoe Anti-Tank Company 94,Center
"Givati Anti-Tank Company ",1984,"Givati Brigade 84, Infantry",Givati Anti-Tank Company,Givati Anti-Tank Company,South
Givati Engineer Company,1984,"Givati Brigade 84, Infantry",Givati Engineer Company,Givati Engineer Company,South
General Staff Visual Intelligence Unit - Lebanon Company,1985,Field Intelligence,General Staff Visual Intelligence Unit - Lebanon Company,General Staff Visual Intelligence Unit - Lebanon Company,North
7 Armor Reconnaissance Company,1986,"7 Armored Brigade, Armor",Palsar 7 Armored Reconnaissance Company,Refaim,North
Duvdevan 217,1986,"89 Oz Brigade, Regional",Duvdevan (Unit 217),"""The 89th """"Oz"""" Brigade""",Center
Maglan 212,1986,"89 Oz Brigade, ATM",Maglan 212,Maglan 212,Center
Meitar 427,1987,ATM,Moran 427,Meitar 427,North
Meitar 427,2020,,,,North
Shimshon 367,1987,"Regional, Southern Command",Shimshon (Unit 367),,South
"Israel Police Special Patrol Unit ",1988,Police,Israel Police Special Patrol Unit,Israel Police Special Patrol Unit,Valleys
Unit 7555 - 5515,1988,"98 Division - The Fire Formation, Central Command",Unit 252,,South
Mechanized Infantry - Alon,1988,500 Brigade,,Kfir Brigade,
Mechanized Infantry - Eshchar,1988,401 Brigade,,Kfir Brigade,
Mechanized Infantry - Ashuach,1988,500 Brigade,,Kfir Brigade,
Mechanized Infantry,1988,,,Kfir Brigade,
LOTAR Eilat Counterterrorism (Res) 7707,1989,"CT, Regional, Southern Command",LOTAR Eilat Counterterrirism (Res),LOTAR Eilat Counterterrirism (Res),South
Gideon Sword Police 33 - Jerusalem District,1990,Police,Gideon Sword Police - Jerusalem District,Gideon Sword Police - Jerusalem District,Jerusalem
Yamas Aravah,1990,"Police, YAMAS",Yamas Aravah,Yamas Aravah,South
Yamas Jerusalem,1990,"Police, YAMAS",Yamas Jerusalem,Yamas Jerusalem,Jerusalem
"Yamas ",1990,"Police, Tactical Brigade Border Police",Yamas Aravah,Yamas Aravah,South
Military Police Force 100,1990,Military Police,Military Police Force 100,Military Police Force 100,General
Mechanized Infantry - Eshbal,1990,401 Brigade,,Kfir Brigade,
Yamas West Bank,1991,"Police, YAMAS",,,
Counter-NBC and purifiers,1991,"Engineering, Yahalom",Counter-NBC and purifiers,Counter-NBC and purifiers,Center
"Nahal Anti-Tank Company ",1991,"Infantry, Nahal Brigade 933",Nahal Anti-Tank Company,Nahal Anti-Tank Company,Center
"Palsar 500 ",1992,Armor,Palsar 500,Refaim,Center
Nahal Engineer Company,1992,"Infantry, Nahal Brigade 933",Nahal Engineer Company,Nahal Engineer Company,Center
Mechanized Infantry - Oren,1992,188 Brigade,,Kfir Brigade,
" Nitzan Target Field Intelligence Unit 636",1993,Field Intelligence,Nitzan Target Field Intelligence Unit,Battalion 869,North
Counter-NBC and Company,1993,"Engineering, Yahalom",Counter-NBC and Company,Counter-NBC and Company,General
Combat Engineering Reconnaissance Platoon 603,1993,"Combat Engineering Reconnaissance Platoons, Engineering",Combat Engineering Reconnaissance Company 603,Combat Engineering Reconnaissance Company 603,North
